# rocq scheme: RocqIDE default unicode bindings (latex-style).
# Generated by scripts/update-rocq-symbols.py from https://raw.githubusercontent.com/rocq-prover/rocq/master/ide/rocqide/default_bindings_src.ml
# rocq-prover/rocq (LGPL-2.1-only).
# Columns: name<TAB>codepoint(hex)[ ...]<TAB>description
Igrave	00CC	letters
Im	2111	letters
Imacr	012A	letters
ImaginaryI	2148	letters
Implies	21D2	arrows
Int	222C	mathematics
Integral	222B	mathematics
Intersection	22C2	set theory
InvisibleComma	200B	spaces
InvisibleTimes	2062	spaces
Iogon	012E	letters
Iopf	1D540	letters
Iscr	2110	letters
Itilde	0128	letters
Iukcy	0406	letters
Iuml	00CF	letters
Jcirc	0134	letters
Jcy	0419	letters
Jfr	1D50D	miscellanea
Jopf	1D541	letters
Jscr	1D4A5	miscellanea
Jsercy	0408	letters
Jukcy	0404	letters
KHcy	0425	letters
KJcy	040C	letters
Kcedil	0136	letters
Kcy	041A	letters
Kfr	1D50E	miscellanea
Kopf	1D542	letters
Kscr	1D4A6	miscellanea
LJcy	0409	letters
Lacute	0139	letters
Lambda	039B	greek letter
Lang	27EA	parentheses and delimiters
Laplacetrf	2112	letters
Larr	219E	arrows
Lcaron	013D	letters
Lcedil	013B	letters
Lcy	041B	letters
LeftAngleBracket	27E8	parentheses and delimiters
LeftArrow	2190	arrows
LeftArrowBar	21E4	arrows
LeftArrowRightArrow	21C6	arrows
LeftCeiling	2308	ASCII art
LeftDoubleBracket	27E6	parentheses and delimiters
LeftDownTeeVector	2961	arrows
LeftDownVector	21C3	arrows
LeftDownVectorBar	2959	arrows
LeftFloor	230A	ASCII art
LeftRightArrow	2194	arrows
LeftRightVector	294E	arrows
LeftTee	22A3	logic
LeftTeeArrow	21A4	arrows
LeftTeeVector	295A	arrows
LeftTriangle	22B2	triangles
LeftTriangleBar	29CF	triangles
LeftTriangleEqual	22B4	triangles
LeftUpDownVector	2951	arrows
LeftUpTeeVector	2960	arrows
LeftUpVector	21BF	arrows
LeftUpVectorBar	2958	arrows
LeftVector	21BC	arrows
LeftVectorBar	2952	arrows
Leftarrow	21D0	arrows
Leftrightarrow	21D4	arrows
LessEqualGreater	22DA	order relations
LessFullEqual	2266	order relations
LessGreater	2276	order relations
LessLess	2AA1	miscellanea
LessSlantEqual	2A7D	order relations
LessTilde	2272	order relations
Lfr	1D50F	miscellanea
Ll	22D8	order relations
Lleftarrow	21DA	arrows
Lmidot	013F	letters
LongLeftArrow	F576	miscellanea
LongLeftRightArrow	F578	miscellanea
LongRightArrow	F577	miscellanea
Longrightarrow	21D2	arrows
Lopf	1D543	letters
LowerLeftArrow	2199	arrows
LowerRightArrow	2198	arrows
Lscr	2112	letters
Lsh	21B0	arrows
Lstrok	0141	letters
Lt	226A	order relations
Map	2905	arrows
Mcy	041C	letters
MediumSpace	205F	symbols
Mellintrf	2133	letters
Mfr	1D510	miscellanea
MinusPlus	2213	mathematics
Mopf	1D544	letters
Mscr	2133	letters
NJcy	040A	letters
Nacute	0143	letters
Ncaron	0147	letters
Ncedil	0145	letters
Ncy	041D	letters
NegativeMediumSpace	205F	miscellanea
NegativeThickSpace	2005	miscellanea
NegativeThinSpace	2009	miscellanea
NegativeVeryThinSpace	200A	miscellanea
NestedGreaterGreater	226B	order relations
NestedLessLess	226A	order relations
Nfr	1D511	miscellanea
NoBreak	FEFF	spaces
NonBreakingSpace	0020	spaces
Nopf	2115	letters
Not	2AEC	miscellanea
NotCongruent	2262	equivalence relations
NotCupCap	226D	equivalence relations
NotDoubleVerticalBar	2226	mathematics
NotElement	2209	set theory
NotEqual	2260	equivalence relations
NotEqualTilde	2242 0338	equivalence relations
NotExists	2204	logic
NotGreater	226F	order relations
NotGreaterEqual	2271 20E5	miscellanea
NotGreaterFullEqual	2270	order relations
NotGreaterGreater	226B 0338	miscellanea
NotGreaterLess	2279	order relations
NotGreaterSlantEqual	2271	order relations
NotGreaterTilde	2275	order relations
NotHumpDownHump	224E 0338	equivalence relations
NotHumpEqual	224F 0338	equivalence relations
NotLeftTriangle	22EA	triangles
NotLeftTriangleBar	29CF 0338	triangles
NotLeftTriangleEqual	22EC	triangles
NotLess	226E	order relations
NotLessEqual	2270 20E5	miscellanea
NotLessGreater	2278	order relations
NotLessLess	226A 0338	miscellanea
NotLessSlantEqual	2270	order relations
NotLessTilde	2274	order relations
NotNestedGreaterGreater	24A2 0338	circles
NotNestedLessLess	24A1 0338	circles
NotPrecedes	2280	order relations
NotPrecedesEqual	2AAF 0338	order relations
NotPrecedesSlantEqual	22E0	order relations
NotReverseElement	220C	set theory
NotRightTriangle	22EB	triangles
NotRightTriangleBar	29D0 0338	triangles
NotRightTriangleEqual	22ED	triangles
NotSquareSubset	228F 0338	set theory
NotSquareSubsetEqual	22E2	set theory
NotSquareSuperset	2290 0338	set theory
NotSquareSupersetEqual	22E3	set theory
NotSubset	2284	set theory
NotSubsetEqual	2288	set theory
NotSucceeds	2281	order relations
NotSucceedsEqual	2AB0 0338	order relations
NotSucceedsSlantEqual	22E1	order relations
NotSucceedsTilde	227F 0338	order relations
NotSuperset	2285	set theory
NotSupersetEqual	2289	set theory
NotTilde	2241	equivalence relations
NotTildeEqual	2244	equivalence relations
NotTildeFullEqual	2247	equivalence relations
NotTildeTilde	2249	equivalence relations
NotVerticalBar	2224	mathematics
Nscr	1D4A9	miscellanea
Ntilde	00D1	letters
OElig	0152	letters
Oacute	00D3	letters
Ocirc	00D4	letters
Ocy	041E	letters
Odblac	0150	letters
Ofr	1D512	miscellanea
